Station Name,Latitude,Longitude
Etisalat by e& Metro Station 1,25.25498522,55.4009325
Al Qusais Metro Station,25.26286439,55.38734434
Dubai Airport Free Zone Metro Station 1,25.27008468,55.37505016
Al Nahda Metro Station,25.27351439,55.36944517
Stadium Metro Station 1,25.27799497,55.36144476
Al Qiyadah Metro Station,25.27782528,55.35271216
Abu Hail Metro Station 1,25.27531338,55.34626617
Abu Baker Al Siddique Metro Station 2,25.27104118,55.33284763
Salah Al Din Metro Station,25.27032029,55.32087586
Union Metro Station,25.26649619,55.31447321
Baniyas Square Station,25.26938268,55.30760244
Palm Deira,25.27591468,55.30124159
Al Ras Metro Station,25.26859308,55.29336965
Al Ghubaiba Metro Station,25.26558761,55.28919816
Sharaf DG,25.25831208,55.29754243
Burjuman Exit 3,25.25487443,55.30412361
Oud Metha,25.24377663,55.31588857
Dubai Healthcare City,25.23106995,55.32280423
Al Jadaf,25.22513636,55.33367239
Creek,25.21923836,55.3389097